tokens,value
</s>,3.294769
damage,2.3482049
begin,2.213172
e,1.9492216
<s>,1.6963632
would,1.5100727
strike,1.481156
extremely,1.4371966
say,1.4015145
participant,1.11384
u,1.0772867
arrive,0.9691328
en,0.95650935
reporter,0.9525812
one,0.9465537
fin,0.90961874
v,0.8402666
imir,0.81375897
north,0.80780196
land,0.7848833
president,0.7715441
lad,0.7538002
kilomet,0.7353964
day,0.7331435
ussian,0.7105999
hel,0.7053004
in,0.65180314
l,0.6488689
r,0.6450098
inki,0.6422399
mile,0.62191296
put,0.56523705
han,0.5644276
er,0.5075205
van,0.49776328
ti,0.47571236
ah,0.45987067
summit,0.45124266
s,0.3547027
